Text,Year,Journal Name,DOI,Label
"The feasibility study evaluates how the new generation affects system performance under both normal and contingency scenarios. Contingency analysis assesses how this new generation influences transmission facility loading and bus voltage during outages involving transmission lines, autotransformers, and generators. For this study, the latest version of the Southwest Power Pool's 2005 summer peak base case was utilized.",,System Impact Study for the Interconnection of Wind Generation and Utility System,,0
"Regulatory must-run units, like hydropower plants, are designed to ensure equitable competition in deregulated energy markets. Hydropower plants often serve dual purposes, providing both electricity and irrigation, and their participation in open markets could negatively impact their agricultural role. Additionally, their minimal or nonexistent fuel costs give them a potential unfair advantage in scheduling markets, necessitating the creation of specific market regulations.",2002.0,Defining the Must-Run and Must-Take Units in a Deregulated Market,02-Apr-02,0
"Recent reports from global associations, European organizations, and projects have emphasized the significance of addressing cybersecurity education challenges. ENISA has suggested that many of these issues could be mitigated by redesigning educational and training pathways, while ECSO has highlighted that cybersecurity is often treated as a specialization within computer science rather than as an interdisciplinary field. However, despite these reports, the exact reasons behind the persistent shortage of cybersecurity professionals remain unclear. Challenges differ across countries and sectors, making it difficult to pinpoint the root causes and their interconnections, further complicating efforts to develop effective solutions.",,,,0
"The rapid proliferation of IoT ecosystems?ueled by ubiquitous internet connectivity, wireless communication, smart devices, and IP-based sensor networks?as dramatically expanded the attack surface, necessitating next-generation cybersecurity frameworks that address the unique vulnerabilities of interconnected devices. Where traditional security protocols fail to meet IoT's scalability and integrity demands, emerging solutions like blockchain technology offer decentralized protection for device networks while ensuring data privacy compliance with evolving regulations [18,19]. This paradigm shift recognizes that IoT cybersecurity must simultaneously: (1) safeguard organizational assets and user privacy, (2) maintain interoperability across heterogeneous devices, and (3) provide audit-ready compliance?bjectives achievable only through adaptive architectures that replace obsolete perimeter-based defenses with distributed, cryptographic security layers tailored for massive IoT deployments.",,,,0
"In an asymmetric system, for the embedded watermark to be detected using the standard correlation test, there must be some correlation between the detector's reference watermark and the embedding watermarks. There are various methods to generate signals that differ from but maintain a fixed correlation with a given reference watermark. One straightforward approach is to create a weighted sum of the watermark and random noise. Hartung and Girod [2] suggested substituting part of the watermark with random noise. Here, we introduce a new method that utilizes the phase-shift-transform (PST).",2004.0,ASYMMETRIC WATERMARKING SYSTEM,03-Mar-04,0
"In a chaotic communication system using lasers with delayed optical feedback, data protection traditionally relies on the need for nearly identical transmitter and receiver devices. In this study, we assume this requirement is no longer met (i.e., the eavesdropper has an identical receiver). The proposed security scheme is based on a predefined variation of the feedback phase, leveraging the inherent limitations of synchronization temporal response. The feedback phase acts as a shared key between the transmitter and receiver for synchronization. While one might compare this to algorithmic encryption before encoding data onto the chaotic carrier, the two approaches differ significantly. Algorithmic encryption increases processing power requirements and is vulnerable to decryption attacks. In contrast, the proposed method requires no additional processing power and relies on fundamental physical limitations for security.",,Feedback Phase in Optically Generated Chaos: A Secret Key for Cryptographic Applications,,0
"The CAS typically operates in a three-level hierarchy for key distribution. The server selects a random variable, known as the Control Word (CW), as the seed for a pseudo-random generator (PRG). The pseudo-random sequence generated by the PRG is used to scramble the transported stream (TS). Simultaneously, the CW is encrypted with an authorization key (AK) to create an Entitlement Control Message (ECM). The AK and other entitlement information are encrypted together using the Master Private Key (MPK) to form an Entitlement Management Message (EMM). The ECM, EMM, and scrambled TS stream are then multiplexed into a new TS stream and transmitted to subscribers via the broadcasting channel. To prevent malicious modifications, the ECM and EMM must be transferred with their respective digital signatures.
The Subscribers Management System (SMS) manages customers' access rights to protected services, such as adding or removing access rights by generating or updating the MPK stored in the smartcard. To enhance system security, the CAS can frequently change the CWs or use more complex symmetric encryption algorithms to scramble the program. In a typical CAS, CWs are changed every 5 to 20 seconds, significantly reducing the risk of known-plaintext attacks.",2004.0,A Scalable Key Distribution Scheme for Conditional Access System in Digital Pay-TV System,02-May-04,0
"The reliability evaluation of EIS must consider not only the adequacy evaluation of the system, but also the security anal ysis in order to define the system response to several distur bances [3]. Current reliability techniques model disturbances in a probabilistic way; however, they do not model the stochastic response of the power system [4] and the system is analyzed under steady-state conditions after the disturbances occur [5]. Such techniques are: zone branch [6], cut set [7], go [8] and re liability block diagram [9]. So, using these techniques, it is not possible to define indicators that include the temporal response of the EIS when sudden disturbances occur.",2010.0,Power Systems Security Evaluation Using Petri Nets,01-Jan-10,1
"There are a large number of contingency combinations that
could have great impacts to the system, but the probability of occurrence of most of these rare but severe events is normally low.
In order to maintain the complexity of the SPS at a reasonable
level, a list of the most credible situations should be identified.
For the selection of the contingency cases to be included in the
design of a transient stability SPS, this letter presents a framework that could account for uncertainty in event occurrence and
its consequence and combines them as a product to obtain a risk
index for contingency selection.",2006.0,A Risk-Based Contingency Selection Method for SPS Applications,02-May-06,1
"The load shedding scheme incurs costs for customers, influenced by outage costs and the generator's forced outage rate. Customer outage costs can be approximated using a power disconnection or damage function. The system failure rate plays a crucial role in determining these costs, as each load shedding event results in an interruption cost. For estimating these costs, power interruption costs (measured in $/MW) appear more representative than nonsupplied energy costs (measured in $/MWh).",2005.0,"SPINNING RESERVE, LOAD SHEDDING, AND ECONOMIC DISPATCH SOLUTION",01-Feb-05,0
"The paper presents the Automated Android Malware Detection using Optimal Ensemble Learning Approach for Cybersecurity (AAMD-OELAC) technique, which aims to enhance the automated classification and identification of Android malware. The AAMD-OELAC technique initiates with data preprocessing to improve data quality and follows an ensemble learning process that incorporates three machine learning models: Least Square Support Vector Machine (LS-SVM), kernel extreme learning machine (KELM), and Regularized random vector functional link neural network (RRVFLN). Additionally, the hunter-prey optimization (HPO) algorithm is utilized for optimal parameter tuning of these models, leading to improved malware detection results. A comprehensive experimental analysis is conducted to demonstrate the superiority of the AAMD-OELAC approach over existing methods. The findings indicate that the AAMD-OELAC technique effectively addresses the challenges posed by evolving malware variants, making it a significant contribution to cybersecurity practices in the realm of Android applications.",,,,0
"This paper presents a detailed approach to designing and selecting current wind power technologies for Thailand's power system. It utilizes existing power system data and recent wind resource assessments to determine the optimal integration of wind power generation into the system. The study thoroughly examines the appropriate penetration levels and turbine sizing for Thailand, which is classified as a low to medium wind speed country.",,Design Optimization of Wind Power Planning for a Country With Low–Medium-Wind-Speed Profile,,0
"Our scheme is applied to audio watermarking in the time domain using a jazz music clip sampled at 44.1 kHz with 16-bit resolution. Four independent random noise signals serve as reference watermarks, which are modified in the DFT domain to match the magnitude spectrum of the cover audio, ensuring they are inaudible while maximizing detectable energy. Private keys consist of 1000 m-sequences, each 1023 bits long. The audio sequence is divided into frames of a specified length, and an embedding watermark is inserted into each frame using a scaling factor to maintain inaudibility. The same embedding watermark is used for every set of 32 consecutive frames. To test robustness, the watermarked audio undergoes 96-kb/s MP3 compression and decompression as an example of potential attacks.",2004.0,ASYMMETRIC WATERMARKING SYSTEM,03-Mar-04,0
"User authentication is a component of a broader security system, which can be classified as strong or weak based on the cost of an attack versus the potential gain for the attacker. Various authenticators provide different levels of defense against various types of attacks, which can occur at the client, during transmission, or at the host. This discussion focuses on client and host vulnerabilities. To strengthen security, multiple authenticator types can be combined through a process known as multifactor authentication. Additionally, the paper explains how user authentication integrates into comprehensive authentication systems like RADIUS, Kerberos, and Single Sign-On (SSO).",2003.0,"Comparing Passwords, Tokens, and Biometrics for User Authentication",12-Dec-03,0
"As depicted in Fig. 3, the frequency initially drops due to an increase in load but eventually returns to zero. The overshoot occurs because generators G1, G4, and G5 all contribute to restoring the frequency deviation by increasing their power output. Each generator participates in primary control, and since G1 and G4 are under AGC, they also assist in supplementary control. The second plot in Fig. 3 displays the power outputs in Control Area 1 (CA1), with a similar situation in CA2. After the transient phase, the power outputs of generators G2 and G3 match their respective bilateral load variations, while G1 shows a minor initial variation before stabilizing at zero.",,Feasibility of a Bilateral Market for Load Following,,0
"The Demand-Side System (DSS) can be applied in two scenarios. In the first, utilities offer interruptible tariffs to customers when they have surplus power capacity, aiming to reduce operational costs during peak periods by minimizing generation costs and maximizing customer benefits. In the second scenario, where the system faces capacity shortages, the goal is to maintain system reliability while minimizing load interruption disruptions. This requires balancing customer satisfaction with system security. The problem is well-suited for load interruption solutions due to their clear and efficient effects.",,Demand Subscription Services—An Iterative Dynamic Programming for the Substation Suffering From Capacity Shortage,,0
"The study in [24] focuses on identifying scientific papers that discuss cybersecurity frameworks, standards, guidelines, best practices, and other protective measures specifically for the nuclear sector. However, it does not cover safety issues, nor does it address the co-engineering of cybersecurity and safety, limiting its scope to cybersecurity measures within the domain.",,,,0
"Railways have been one of the primary commodities to move passengers and freight since at least the late 19th century. Yet, railway operators continuously face constant pressure to increase performance and the availability of their services[1]. Despite the recent technological advances, however, increasing the performance of such well-tuned systems without compromising their already excellent safety characteristics is nothing short of a titanic challenge. This is even more true if one considers the high degree of control that the general public (which is both a final user and one of the biggest sponsors for much infrastructure) imposes on railway industry players.
",,,,0
"To handle unpredictable real-world scenarios, electric vehicles (EVs) have become integral to a vast network of interconnected entities, known as Vehicular Ad-hoc Networks (VANETs). These intelligent connected vehicles (ICVs) facilitate communication with other vehicles, infrastructure, and pedestrians through various modes, including V2X (which encompasses V2N, V2V, V2I, and V2P) and Dedicated Short-Range Communication (DSRC). However, ICVs face significant security and complexity challenges. Research has explored different communication technologies, such as DSRC and C-V2X, highlighting their architectures and vulnerabilities. Additionally, studies have examined the evolution of V2X communication and the rise of the Internet of Vehicles (IoV). Security threats targeting ICVs include attacks on traffic light infrastructure, communication channels, and sensor manipulation, alongside broader concerns related to DSRC and C-V2X communication security. Given the cyber-physical nature of ICVs, their vulnerabilities extend beyond communication networks, as adversaries can compromise power systems, manipulate vehicle controllers, and pose risks to pedestrian safety by injecting malware or executing unauthorized code. Therefore, ensuring a secure transportation ecosystem requires a comprehensive approach that addresses both the physical and digital security aspects of ICVs.
",,,,0
"These Delphi processes are integral components of a broader initiative, the educational Cybersecurity Assessment Tools (CATS), accessible at 

http://www.cisa.umbc.edu/cats/index.html, which seeks to develop a Cybersecurity Concept Inventory (CCI) and a Cybersecurity Curriculum Assessment (CCA), the CCI is designed to evaluate students completing introductory cybersecurity courses, while the CCA targets graduating college students transitioning into professional cybersecurity roles, consequently, the project executed two distinct Delphi processes concurrently, one dedicated to the CCI and the other to the CCA.
",,,,0
"The proposed circuit can be built using approximately 20 CMOS gates and some passive components. The astable multivibrator operated at 5V, the 1-bit counter used a 16 MHz clock, and the output random number rate was 50 kb/s. All tests were conducted at room temperature. Since this RNG is made with discrete components, the supply voltage is higher than what's needed for mobile devices. However, with appropriate fabrication techniques, the circuit's supply voltage can be reduced to 1.5V or less. Also, this random number generation method is adaptable to other fluctuating signals, not just MOS-SBD signals, as long as the fluctuations are sufficiently large.",,Physical Random Number Generator Based on MOS Structure After Soft Breakdown,,0
"The main objective of the NICE framework is to deliver a unified lexicon for defining different cybersecurity work roles. To this end, the framework classifies the work duties into seven main categories. Furthermore, the NICE framework divides these 7 categories into specialty areas and work roles. The framework contains extensive details on the knowledge, skills, and abilities that the individuals are required to obtain for becoming able to carry out cybersecurity tasks in each job position.
",,,,0
"The utilization of cloud computing platforms presents a compelling avenue for delivering course assignments and facilitating students' acquisition of essential practical skills; specifically, cloud environments provide instructors and students, irrespective of geographic location, with on-demand, scalable, dedicated, isolated, and highly configurable virtual machine resources, thereby offering significant advantages over traditional laboratory settings that often impede pedagogical objectives and exhibit limited scalability; this study documents the implementation of a cloud-based approach for teaching a senior-level cybersecurity course across two campuses via a virtual classroom equipped with real-time audio and video communication, and based upon this experience, proposes guidelines for the instruction of similar computer science and engineering disciplines; the efficacy of cloud-based laboratory exercises in fostering critical cybersecurity and cloud computing proficiencies, both highly sought-after in contemporary professional environments, is demonstrated; while the Amazon Web Services (AWS) public cloud served as the platform for this specific implementation, the presented use cases and methodologies are transferable to other cloud platforms, including Rackspace and Google Compute Engine, among others.",,,,0
It is clear that a hash bit serves to preserve the relationship be tween the selected DCT coefficients in a given block pair. The hash bits generated for each block are concatenated to form the digest of the input image. This digest can then be either em bedded into the image itself or appended as a tag. The authen tication procedure at the receiving end involves the extraction of embedded digest. The digest for the received image is gen erated as at the encoder and compared with the extracted and decrypted digest.,2002.0,On the Security of the Digest Function in the SARI Image Authentication System,11-Nov-02,1
"Fast spinning reserve, power delivered within seconds of a frequency drop, is crucial for immediate system stabilization. Slower spinning reserve, while helpful for overall power deficit reduction, reacts too slowly to prevent critical minimum frequency dips. To model this, a portion of the fast spinning reserve, determined by a reserve factor, is considered equivalent to load shedding in its impact on system response. Equation (1) reflects this dynamic relationship, where Em, a function of the minimum frequency (fmin), must exceed a threshold. This ensures that low-frequency transients don't trigger further unit trips, preventing a cascading system collapse.",2005.0,"SPINNING RESERVE, LOAD SHEDDING, AND ECONOMIC DISPATCH SOLUTION",01-Feb-05,0
"In the proposed system, when the system needs to refreshes 
a new group key, only a few encryption/decryption operations 
are needed. Two primary operations may be performed by the 
system or members: multiplication and addition, in which 
computation load is very low. For every subscriber, they can 
get one head group key, HRGK , from the transport stream. 
According to HRGK and secret keys held by them, they will 
be able to work out the corresponding group keys and 
authorization keys. Moreover, when someone joins/leaves one 
group, the system will simply broadcast one package 
containing the new secret group key. Moreover, in order to 
improve the security of system, generally, AK should be 
refreshed every day. Since the changing of HRGK can result 
in refreshing of all AKs in our scheme , the system simply 
broadcasts single one package only containing the new 
HRGK to all users to carry out refreshing all AKs, which 
can greatly reduce the everyday computation overhead of the 
system.",2004.0,A Scalable Key Distribution Scheme for Conditional Access System in Digital Pay-TV System,02-May-04,1
"The progressive integration of internet and wireless communication, intelligent devices and objects, IP protocol, and sensor network technologies has significantly expanded the scope of network-based entities within the domain of IoT cybersecurity, these technological advancements are exerting a profound influence on emerging Information and Communication Technologies (ICT) and the Industry 4.0 paradigm, cybersecurity, in this context, permeates the IoT network, a globally interconnected infrastructure comprising heterogeneous smart devices that amalgamate sensory, communication, networking, and information processing capabilities, furthermore, the cybersecurity landscape of IoT is influenced by a multitude of supplementary technologies and devices, including barcodes, smartphones, social networks, and cloud computing, each contributing to the multifaceted nature of IoT security.
",,,,0
"Ethics, which establish moral standards to distinguish right from wrong, are fundamental to cybersecurity due to its direct impact on human well-being, guiding the responsible use of technology to protect individuals and uphold societal values [1]?4]. Despite the seemingly straightforward mandate to ""shield good actors and block malicious ones,"" cybersecurity ethics prove deeply complex [5], as illustrated by this paper's Horizon Scanning study, which identifies both mainstream concerns (e.g., data privacy) and underrecognized emerging dilemmas (e.g., AI-driven surveillance biases) that could redefine ethical boundaries in digital security.

",,,,0
"Impact analysis assesses the effects of cyber intrusions on SCADA systems, evaluating potential consequences. The method described aims to determine network and power system vulnerabilities, including potential load loss resulting from cyberattacks. A successful attack that manipulates switching actions can severely damage a power system, particularly if it targets the control center network connected to substations. 1  This could lead to load loss or equipment damage. 2  To address this, an integrated risk modeling approach has been developed, capturing both control system vulnerabilities and their impact on real-time power system operations. This approach involves four key steps.",2010.0,Cybersecurity for Critical Infrastructures: Attack and Defense Modeling,04-Jul-10,0
"Raising security awareness for emerging technologies is essential to preventing cyberattacks. Ensuring information security within an open system architecture presents challenges, particularly in addressing potential threats while maintaining confidentiality, integrity, availability, and accountability [33]. The ISO/IEC 17779 standard provides a set of critical controls for managing information security [34]. A virtual enterprise serves as an effective approach for facilitating collaboration among networked enterprises by enabling remote coordination, control, and communication across different roles and user types [35]. In response to the growing connectivity of control networks, governments have taken measures to enhance national preparedness [4].",2010.0,Cybersecurity for Critical Infrastructures: Attack and Defense Modeling,04-Jul-10,0
"With the advancement of vehicle-to-vehicle (V2V) and vehicle-to-infrastructure (VII) communication technologies, road systems could be upgraded to enhance traffic management. For instance, vehicle-to-roadside communication—already in use for automatic toll collection—could be expanded to monitor vehicle speed, location, origin, and destination at frequent intervals. These innovations could transform highways into intelligent traffic networks, as depicted in Fig. 7, where vehicles actively function as sensors and actuators within a high-level traffic management system rather than merely being passive users of the road.",,Scanning Advanced Automobile Technology,,0
"There were a few researchers who tried to leverage the
advantages of the LVC interoperable simulation [2]?[4].
However, most of the research projects simply interconnected
heterogeneous models, making merely limited use of the
other model. Specifically, in most cases, benign packets are
interpreted and transferred seamlessly between the different models while threat packets are not allowed to roam
between the models. Even in cases where threat packets
are allowed to be transferred between the models, the other
model only works as a relay node or a network segment
that simply returns the received threat packets to its originating model. Since analyzing the impact of a cyber threat
is one of the most important reasons to utilize cybersecurity
simulation, the aforementioned limitations have kept us
from using LVC interoperable simulation in a practical sense",2021.0,"Cy-Through: Toward a Cybersecurity Simulation
for Supporting Live, Virtual, and Constructive
Interoperability",20-Jan-21,1
"When the injection strength in the slave laser significantly exceeds the feedback strength, the receiver reproduces the injected waveform through strong injection-locking synchronization. In this case, the synchronization recovery time is much shorter and remains constant, regardless of system complexity or external cavity length. However, no reported values have been lower than 200 ps, meaning that phase variations at this scale can still prevent eavesdropping. Furthermore, under these conditions, the receiver essentially functions as an open-loop system, losing phase sensitivity and demonstrating poor decoding performance for low-amplitude messages (as shown in Fig. 2).",,Feedback Phase in Optically Generated Chaos: A Secret Key for Cryptographic Applications,,0
"The fault location system pinpointed the fault at 67.28 miles from the station, with a calculated range between 66.33 and 67.36 miles. Historically, actual faults have consistently fallen within this range. The system's distance estimate showed a minimal error of 0.27% compared to the reported value. In addition to location, the system provided comprehensive data, including the maximum RMS currents and corresponding voltages for each phase of the faulted transmission line. It also calculated and reported the impedance and angle of the faulted line up to the fault location. Finally, the system estimated the fault duration to be 97.76 milliseconds.",2001.0,A NEW TRANSMISSION LINE FAULT LOCATING SYSTEM,04-Oct-01,0
"To ensure comprehensiveness, this study synthesizes diverse reports and articles on cybersecurity education, with the PESTLE analysis serving as a consolidated summary of current research trends and gaps. While prior works have applied PESTLE frameworks to dissect sector-specific challenges (e.g., policy or technological barriers), this section specifically highlights PESTLE-centric studies, deferring broader literature on curricular or pedagogical issues to Sections III and IV. By anchoring the analysis in this methodology, the paper systematizes fragmented insights into a unified taxonomy, enabling targeted interventions for workforce development.

",,,,0
"Researchers in the field of information and communication technology concur that information security (InfoSec) holds paramount importance [7]. Consequently, numerous studies have endeavored to address this concern through the implementation of enhanced techniques and technological solutions, including malware detection systems, intrusion detection and prevention systems (IDPS), advanced firewall configurations, and data encryption algorithms. While certain studies posit that InfoSec challenges can be effectively managed through a focus on human behavior [10], others contend that a singular emphasis on human behavior is inadequate [3]. Notably, the sheer volume of information processed by most organizations necessitates significant automation [12]. Therefore, an appropriate equilibrium between human intervention, technological implementation, and policy management is essential within organizational security practices.",,,,0
"This paper introduces a basic mathematical framework for the hybrid market and demonstrates its feasibility through simulations. Section II-A outlines the method and its underlying assumptions, while Section II-B explains one iteration of the trading process. Section III-A graphically illustrates the general properties of the trading process using an example network topology with five out of ten lines constrained. Section III-C discusses the overall trends observed from simulating the method on 102 different network topologies. Finally, Section IV concludes the paper and outlines directions for future research.",,Transmission Pricing of Distributed Multilateral Energy Transactions to Ensure System Security and Guide Economic Dispatch,,0
"Cybersecurity training is a critical prerequisite to the
military being fully cyberized. The military has attempted
to build its own specialized cybersecurity training system, or the cyber range. SIMTEX (Simulator Training
Exercise Network) [2] is one of the earliest examples of
military-developed cybersecurity training systems. SIMTEX
was designed initially for the US Air Force?s training purposes and later selected as the operational platform for
US military-hosted cybersecurity exercises such as Black
Daemon and Cyber Flag. SIMTEX offered virtualized hosts
to simulate the information assets targeted by cyber attacks
and a VPN tunnel to isolate attack flow across remote sites
for the exercises.
",2022.0,"ICSTASY: An Integrated Cybersecurity Training
System for Military Personnel
",13-Jun-22,1
"Advancements in technology over the past decade have led to the refinement of protocols, enhancing their flexibility in interoperability and maintainability, particularly within open architectures featuring high-speed communications [12], [18]. However, the evolution of SCADA systems has also heightened concerns regarding cyber vulnerabilities [2], [13]. Additionally, the growing interdependence between computing, communication, and power infrastructures has increased risks due to the complexity of these integrated systems [19]. While these advancements offer significant benefits for operations, control, business, and analysis, they also introduce new security challenges. Nevertheless, technological progress holds the potential to mitigate the shortcomings of current power and communication systems [20].",2010.0,Cybersecurity for Critical Infrastructures: Attack and Defense Modeling,04-Jul-10,0
"This paper outlines a foundational mathematical framework for a hybrid market and demonstrates its feasibility through simulation. The framework is detailed in Section II, where the method and its assumptions are described, followed by an explanation of the trading process. Section III provides visual insights into the trading process using a sample network and discusses trends observed across 102 different network topologies. The paper concludes in Section IV by summarizing findings and highlighting areas for future research.",,Transmission Pricing of Distributed Multilateral Energy Transactions to Ensure System Security and Guide Economic Dispatch,,0
"To prepare for the emerging electric power market, this paper proposes an Advanced Metering Infrastructure (AMI) system with bidirectional communication capabilities. This system allows utilities to operate cost-effectively and offer flexible pricing options as demanded by the market. By leveraging advanced communication media like GSM and GPRS, the AMI system can rapidly and accurately collect meter data. It can be integrated into existing billing and management systems, reducing labor costs and enhancing meter-reading accuracy. The system provides customers with statistical load usage and consumption profiles, helping them manage their energy consumption patterns. Additionally, it will offer real-time pricing information when available, making it a crucial component for the future deregulated utility industry.",2009.0,AMI SYSTEM FOR THE DEREGULATED ELECTRICITY MARKETS,06-Dec-09,0
"At the first communication level, the protocol used depends on the meter or device providing the data. Digital meters in power systems typically communicate using protocols designed in accordance with national regulations. For example, the DL/T645-1997 protocol was implemented on June 1, 1998. However, some meters use proprietary protocols, while other controllable devices operate with industrial protocols like MODBUS.
At the second communication level, both international and national protocols are utilized in power systems, such as IEC 60870-5-101 and Q/GDW 130-2005, which is specifically designed for load management systems. Additionally, some utilities establish their own remote data exchange protocols, meaning the choice of protocol varies based on utility requirements.",2009.0,AMI SYSTEM FOR THE DEREGULATED ELECTRICITY MARKETS,06-Dec-09,0
"Information security (InfoSec) is recognized as a primary concern by researchers in information and communication technology, prompting numerous studies to adopt improved techniques and technological artifacts, such as malware detectors, intrusion detection and prevention systems (IDPS), sophisticated firewall setups, and data encryption algorithms. While some studies suggest that InfoSec issues can be effectively managed by focusing on human behavior, others argue that this approach alone is insufficient. The sheer volume of information handled by organizations necessitates considerable automation to enhance security measures. Therefore, a balanced approach that integrates human factors, technology, and policy management is essential for effective organizational security activities. This balance is crucial for addressing the complexities of cybersecurity threats while ensuring robust protection of sensitive information across various platforms.",,,,0
"The rapid expansion of the Internet is fostering the emergence of a cyber society characterized by diverse communications, including the sharing of personal information and business transactions. However, this growth has also led to an increase in cyber threats, which now target a wide range of entities from individuals to private companies and critical infrastructures like nuclear power plants, with objectives that vary from financial gain to political motives. As a result, there is a pressing need for enhanced cybersecurity operations to mitigate these evolving threats. Cybersecurity measures are crucial in protecting sensitive data and maintaining trust in online interactions, especially as the cost of cybercrime is projected to rise significantly in the coming years. This underscores the importance of proactive strategies and international collaboration to ensure a secure digital environment for all users.",,,,0
"Despite the rise of mobile and internet-based voice communication, landline telephony remains a significant and cost-effective communication medium. Historically, landline phones have been used to control home appliances by dialing extra digits, as shown in previous work. An extension card connected to the telephone line interprets these digits, decodes them, and then controls the switching of electrical appliances, as illustrated in Figure 5.",2009.0,Analysis of Remote Control Techniques Employed in Home Automation and Security Systems,03-Aug-09,0
